Target,Avg. Score,Baseline,Improvement
Four_way_Target_Middle_Tercile,0.8259996111723155,0.8308599572289547,-0.004860346056639209
Four_way_Target_Oldest_Tercile,0.5840839867798587,0.6092929816602942,-0.025208994880435487
Four_way_Target_Only_Child,0.8787505670403732,0.8827036484997732,-0.0039530814593999875
Four_way_Target_Youngest_Tercile,0.6519344177305424,0.6771434126109779,-0.025208994880435487
country_02_AU,0.9475082625882962,0.9482859179573586,-0.00077765536906238
country_02_CA,0.9401205365822046,0.941027801179444,-0.0009072645972393323
country_02_GB,0.9368803058777785,0.9375283520186637,-0.0006480461408852056
country_02_Other,0.707147948933964,0.6926965199922235,0.014451428941740563
country_02_US,0.6072192340094614,0.5195385911476897,0.08768064286177168
country_02,0.56120795800661,0.5195385911476897,0.04166936685892031
Four_way_Target,0.3909014321819714,0.3907070183397058,0.000194413842265595
